# 四级短语表 · 共 2707 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-4 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
in the extreme,,"非常, 极端",
in the face of,,面对,
in the first instance,,"首先, 起初；[法] 起初, 首先, 在初审时",
in the first place,,首先,
in the flesh,,"以肉体形式, 亲自",
in the future,,"未来, 将来, 往后",
in the habit of,,"有…的习惯,习惯于…",
in the heat of,,在最激烈的时候,
in the interest of,,"为了, 为了...的利益",
in the least,,丝毫,
in the light of,,"由于, 当作；[法] 根据, 按照",
in the long run,,"长远, 最后",
in the main,,大体上,
in the mass,,总体上,
in the midst of,,在...之中,
in the name of,,"以...的名义；[法] 假借...名义, 以...的名义, 代表...",
in the nature of,,具有...性质,
in the negative,,否定地,
in the open,,在野外,
in the past,,在过去,
in the raw,,"处于自然状态, 不完善, 裸体",
in the red,,"[经] 赤字, 亏损",
in the right,,站在正义的一边,
in the shape of,,以...的形式,
in the short run,,从短期看,
in the vicinity of,,在邻近；[法] 在...附近,
in the wake of,,"尾随, 紧跟, 仿效",
in the way,,挡道,
in the way of,,在…方面;在…过程中;作为…;阻碍…,
in the wind,,"将要发生, 在进行；[法] 谣传",
in the wings,,"在后方, 在附近, 在舞台两侧",
in the world,,在世界上,
in the wrong,,"错了,有过错,亏理",
in this case,,既然这样,
in time,,"及时；[法] 如期, 按期, 及时",
in total,,"总共, 总计；[经] 合计, 全部",
in touch,,"在能接触到之处, 能达到的, 在...的附近",
in touch with,,与…保持联络,
in transit,,在运输中；[经] 在运输中,
in trouble,,"处于不幸中, 在监禁中",
in truth,,"事实上, 的确",
in tune with,,和…合调,
in turn,,"依次, 轮流",
in use,,"在使用着, 在应用",
in vain,,"徒然；[法] 徒然, 无效",
in view of,,"考虑到, 由于；[法] 鉴于",
in vogue,,[经] 正在流行,
incapable of,,无法做到的：没有能力或才能去完成某事的状态。,
inquire about,,"询问,了解,打听",
inquire after,,问候,
inquire for,,"要买, 要见",
inquire into,,调查...,
inside out,,"彻底地, 里面翻到外面；[化] 膜内侧翻外",
insist on,,"坚持, 坚决要求",
instead of,,代替,
int one's way,,暂无释义，可打开词卡用有道查询,
interfere in,,"干预,干涉,介入",
interfere with,,"干涉,干扰,妨碍",
jet lag,,"n. 飞行时差反应, 时差感",
join hands,,"会战,合作,联合行动",
join hands with,,"同...联合, 合伙",
join in,,"参加, 加入",
join up,,"参军, 联合起来",
join up with,,联合：与另一家公司、个人或团体联合起来，共同做某事或组成一家公司、团体等。,
judging by,,根据…来判断,
jump a queue,/dʒʌmp ə kjuː/,插队：违反排队规则，跳过其他人直接加入队伍。,
jump at,,欣然接受,
jump off,,开始,
jump the queue,,"插队, 获得优惠待遇",
just about,,"几乎, 正是",
just as,,正象,
just as well,,"幸好, 无妨",
just now,,刚刚,
just the same,,"完全一样, 还是",
keep a secret,,保守秘密,
keep abreast of,,保持与...并列,
keep an eye on,,"照看, 密切注视",
keep at,,"坚持, 纠缠",
keep at a distance,/kiːp æt ə ˈdɪstəns/,保持距离：保持与某人或某物的距离，避免接近或接触。,
keep away,,防范,
keep away from,,"离开,避开,不接近,戒除…",
keep back,,"落在后面, 阻止, 隐瞒, 留下",
keep clear,,（常与 of 连用）避开，远离，保持距离：不靠近某人、某物或某个区域，以确保安全或不妨碍通行。,
keep company with,,与...结交,
keep down,,"卧下, 镇压, 控制, 缩减, 保留",
keep early hours,,早起早睡,
keep faith,,"忠于信仰, 守信",
keep friends with,,与...保持友好,
keep from,,"阻止, 隐瞒, 抑制",
keep house,,当家,
keep in mind,,"记住..., 想着...",
keep in touch,,保持联络,
keep off,,"让开, 不接近",
keep on,,"继续, 穿着...不脱",
keep on good terms,,(同某人)保持友好关系,
keep one's balance,,保持平衡,
keep one's eyes open,,"注意, 留心",
keep one's fingers crossed,,希望一切顺利，表示支持,
keep one's head,,保持冷静,
keep one's mind on,,专心于,
keep one's temper,,忍耐,
keep out of,,置身于外,
keep pace with,,并驾齐驱,
keep silence,,保持沉默,
keep sth. secret,,对某事保密,
keep terms with sb.,,"同某人交往, 同某人友好",
keep to,,"坚持,保持;固守",
keep to oneself,,"保守秘密, 不交际",
keep track of,,了解,
keep under,,"压制, 控制",
keep up,,"不低落, 维持, 继续；[经] 坚持, 保持, 继续",
keep up with,,"跟上；[法] 追上, 跟上, 赶得上",
key in,,键入；[计] 键入,
kick in,,向里踢进去; 踢坏; <非正>缴付,
kick off,,"踢脱, 中线开球",
kick out,,把球踢出界,
kick up,,踢起；[经] 提高汽油辛烷值,
kill off,,消灭,
kill two birds with one stone,,一箭双雕;一石二鸟,
kind of,,"<口>稍微, 有点儿, 有几分",
knock about,,玩; 漫游; 接连打击; 活着,
knock around,,v. （非正式）（英式亦作 knock about）闲逛，漫游；与……待在一起，与某人一起度过时间；考虑或讨论（某事，如想法、计划等）；痛打，多次击打或粗暴对待某人；散落在某处，闲置在某处,
knock down,,"击倒, 拆卸, 拍卖出；[经] 拍板成交",
knock off,,"敲掉, 击倒；[经] 成交, 停工, 中断",
knock on,,敲击; <非正>（使）增加; 不停地工作; 取消,
knock out,,"敲空, 击倒, 打破, 使筋疲力竭；[经] 拍卖时勾结用廉价买得, 联合拍卖货",
knock over,,"打翻, 搜查, 吃掉",
know about,,"知道,了解,听说过…",
know better than,,不至于蠢到…,
labour along,,缓慢而费力地前进：指以缓慢而费力的方式前进；艰难地前进。,
lack of,,缺乏,
lash out at,,"痛打,狠揍;痛斥,攻击",
laugh at,,"嘲笑, 漠视, 因...发笑",
laugh off,,用笑摆脱,
laugh over,,笑着谈论,
launch into,,"开始,着手,投入;大谈特谈,侈谈,大发",
launch out,,"下水, 开始新的事情, 大肆挥霍, 详述",
lay aside,,"搁置, 积蓄",
lay claim to,,"要求, 坚持对...的所有权, 自以为",
lay down,,"放下；[法] 规定, 制定, 立法",
lay hold of,,"v. 抓住,控制",
lay off,,"把(衣服等)放在一边, 解雇, 停止工作, 休息, 划出；[机] 停工, 下料",
lay on,,"涂抹, 猛攻, 加...于人；[经] 抽, 征(税等)",
lay out,,"摆开, 展示, 布置, 安排, 投资；[经] 花钱, 投资, 布局",
lay over,,"覆盖, 胜过, 使延期",
lay up,,"贮存, 搁置, 卧床；[经] 贮存, 储蓄, 暂停使用",
lead the way,,"带路, 示范",
lead to,,"导致, 通向",
lead up to,,"带到, 导致, 作为...的准备",
lean on,,靠着,
learn by heart,,记住,
learn from,,向...学习,
learn of,,"听说..., 获悉...",
learn off,,"牢记,背熟",
least of all,,最不,
leave alone,,"让独自呆着, 不打扰",
leave behind,,"不带, 留下, 遗留, 超过",
leave off,,"停止, 不再穿",
leave office,,辞职,
leave out,,"省去, 遗漏, 不考虑",
lend sb. a hand,,帮助某人：指提供帮助或支持给某人。,
let alone,,不管,
let along,,暂无释义，可打开词卡用有道查询,
let down,,"放下, 使失望, 使屈辱, 松劲, 减速下降；[机] 放下, 排出",
let go,,"放开, 释放, 发射",
let go of,,"释放, 放开",
let in,,"放进, 招致, 嵌入",
let off,,"放出, 饶恕；[机] 放出",
let out,,"放掉, 泄露, 放大, 出租；[经] 出租",
let slip,,"放走, 无意中吐露, 错过",
let up,,"减小, 停止",
level off,,"平整, 变平, 稳定",
level out,,"把...弄平, 整平, 持平, 达到平衡, 稳定, (飞机)水平飞行",
lie behind,/laɪ bɪˈhaɪnd/,是……的原因：指某事物的原因或动机。,
lie down,,躺下,
lie in,,"在于..., 分娩, 睡懒觉",
lie on,,"依赖, 压迫, 是...的责任",
lie over,,"等待以后处理, 逾期不付",
lie up,,"隐藏, 卧床, 停止使用",
light on,,"飞临,栖息于;偶然碰见,无意中发现",
light up,,"开始吸烟, 发亮, 露喜色；[机] 点火",
like a shot,,"飞快地, 立刻",
like any thing,,象什么似地：指某人或某物的行为或状态非常像某种特定的方式或情况。；拼命地：指某人做某事非常努力或全力以赴。,
like crazy,,"发狂似地, 发疯似的, 拼命地",
like hell,,拼命地,
limber up,,(使)变柔软,
line up,,"整队, 排列起",
link up,,"（使）连接, （使）结合, （使）合并; 贯通; 连贯; 沟通",
listen for,,"倾听,注意听,等着听",
listen into,/ˈlɪsn ˈɪntə/,偷听：指在未经许可的情况下，悄悄收听他人的谈话或通信。,
listen to,,听,
little by little,,渐渐,
live a lie,,做人虚伪,
live off,,"以...为食料, 靠...生活",
live on,,"继续生活, 以...为主食, 靠...生活",
live out,,"活过(某一段时间), 住在外面",
live through,,"度过, 经受过",
live up to,,"实践, 做到",
live with,,与…一起生活; 与（异性）同居; 学会去适应; 接受并忍受,
lock in,,将…锁[包围]在里面; 使固定,
lock oneself in,,"把自己关在里面, 闭门谢客",
lock out,,把...关在外面；[机] 工场对锁,
lock up,,锁上,
log in,,[计] 注册,
log out,,[计] 注销,
long before,,在...以前很久,
long for,,渴望,
long since,,"很久以前, 早已",
look after,,"目送, 照顾, 关心",
look ahead,,"向前看, 着眼未来",
look around,,四下观望; （作出选择前）进行调查; 骋目四顾; 四顾,
look as,/lʊk æz/,视为：将某人或某物视为某种身份或属性。,
look at,,"看, 考虑, 着眼于",
look back,,"回顾, 三心二意；[经] 银行对过去贷款的审查",
look black,,"面带怒容, 面色阴沉",
look down on,,"轻视, 看不起",
look down upon,,蔑视，瞧不起; 鄙夷; 看轻; 掩鼻而过,
look for,,"寻找, 期待",
look forward to,,"期望, 盼望; 瞩望; 属望; 企",
look in,,看望；[计] 搜索,
look into,,"窥视, 浏览, 观察；[法] 调查",
look like,,看起来与（某人或某物）相像[相似]; 很可能出现[引起]（某事、做某事）; 伣; 似,
look on,,"观看, 旁观, 看待",
look out,,"面朝, 留神, 找出",
look out for,,"当心…,留神…,提防…",
look over,,"从...上面看, 察看, 检查, 原谅",
look round,,"环顾, 观光, (事先)进行全面考虑",
look sth. up,,"查寻, 查检, 查找...",
look through,,"看穿, 审核, 浏览, 透过...看去, 从...中显露",
look to,,"照看, 注意, 指望",
look up,,"向上看, 尊敬, 仰望, 好转, 查寻, 拜访；[计] 查阅",
look up to,,"抬头看（某人或某物）, 尊重[敬仰]（某人）; 企慕; 瞧得起; 仰慕",
look up to sb.,,"尊敬, 尊重, 折服, 敬仰",
look upon,,"看作, 显得不错; 看待",
lose heart,,丧失勇气,
lose no time,,"不失时机,抓紧时间,立即",
lose one's hair,,"脱发, 发脾气",
lose one's head,,"被砍头, 不知所措",
lose one's heart to,,"心被...俘去, 爱上...",
lose one's nerves,,变得慌张，不知所措,
lose one's temper,,发脾气,
lose oneself in,,"在…中迷路了;对…入迷,专注于…",
lose sight of,,"不再看见, 忽略, 忘记",
lose track of,,失去线索,
lost one's balance,,失去平衡：无法保持稳定的姿势或位置。,
lots and lots,,许许多多,
lots of,,"许多的..., 大量的...",
made up of,,由……组成，由……构成,
major in,,"主修, 专攻",
make a confession,,"招供, 坦白",
make a deal with,,"与...做生意, 和...妥协",
make a difference,,"有区别,有很大关系",
make a display of,,"展示,卖弄,炫耀",
make a face,,做鬼脸,
make a fool of,,"使…成为笑柄,愚弄,欺骗",
make a fuss of,,"使倍受注目,对…过分体贴",
make a fuss over,,过分关注某人：给某人过多的关注和优待。,
make a mess of,,搞糟,
make a note of,,"记录,把…记录下来",
make a point of,,"强调,重视,特意…,认为有必要…,坚持要…,决心做…",
make a resolution,/meɪk ə ˌrezəˈluːʃn/,下决心：表示决定做某事或改变某种行为的决心。通常在新年时制定。,
make a thing of,,"认为…不得了,对…小题大作",
make a thing out of,,暂无释义，可打开词卡用有道查询,
make a visit to,/meɪk ə ˈvɪzɪt tu/,参观：前往某地或某人的地方以进行访问或观光。,
make allowances for,,"[法] 体谅, 顾及",
make as if,,假装,
make away,,"逃走, 离开",
make away with,,"带...而逃走, 摆脱, 杀死, 浪费；[法] 杀掉, 摧毁, 用完",
make beds,/meɪk bedz/,整理床铺：指将床铺整理得干净、整洁、舒适。,
make believe,,"假装；[法] 假装, 佯为借口, 托词",
make certain,,确定,
make down,,"改小；[经] 清算, 改小, 准备",
make for,,"走向, 有利于, 倾向于",
make friends with,,与...交友,
make fun of,,取笑,
make game of,,"嘲弄, 捉弄",
make into,,"把...制成..., 使转变为",
make it,,"及时抵达, 做成",
make light of,,轻视,
make love to,/meɪk lʌv tu/,向……表示爱情,
make mention of,,提到,
make much of,,"重视, 宠爱, 奉承, 理解；[法] 认为极重要, 重视",
make no bones about,,"对...毫不犹豫；[法] 不加挑剔, 毫无顾忌",
make no difficulties,,表示无异议，不留难：指表示没有任何困难或阻碍，表示同意或接受某事物。,
make of,,"用...制造, 了解, 对待",
make off,,离开,
make off with,,带...而逃；[法] 偷,
make one's own way,,"成功, 发迹",
make one's way,,"前进, 行进, 成功, 发迹",
make out,,"书写, 填写, 拼凑, 说明, 理解, 辨认出, 设法应付, 进展；[法] 开出, 写出, 看出",
make out of,,"用...制造, 理解, 了解",
make over,,"转让, 移交, 改造；[经] 把(财产)转让, 移交",
make peace,,讲和,
make peace with,,"讲和, 休战, 言归于好",
make progress with,,取得进展：在某个方面或某个任务中取得进步或进展。,
make reference to,,"提及,提到,涉及…",
make room for,,让机会/地位给...,
make room for sb.,,让出空地方给某人,
make sense,,有意义,
make sure,,确定,
make terms,,达成协议,
make the best of,,充分利用,
make the most of,,尽量利用,
make up,,"弥补, 赔偿, 配制, 包装, 编辑, 虚构, 缝制, 组成, 和解, 结算, 整理, 化装；[经] 弥补, 赔偿, 内部运装",
make up for,,"补偿,弥补",
make up one's mind,,"下决心, 接受, 承认",
make up to,,"接近, 奉承",
make use of,,使用,
make way,,前进,
many a,,许多,
map out,,制订,
mark down,,"记下, 标低价格；[法] 减价",
mark off,,划分出,
mark out,,"规划, 使注定要",
mark out for,,使注定要,
mark time,,"踏步, 停顿不前",
mark up,,"把...标出, 标高价格；[经] 涨价, 赊帐, 提高标价",
may as well,,"还是...好, 还不如, 不妨",
mean business,,当真,
measure up,,合格,
measure up to,,"符合, 达到",
meet up with,,偶遇,
meet with,,"偶遇, 遭受",
mend one's ways,,改过；[法] 悔改,
mess about,,"浪费时间, 荡来荡去, 闲逛, 混日子, 行动笨拙, 说话罗嗦",
mess around,,浪费时间,
mess up,,"搞糟, 陷入困境, 粗暴地处理",
mess with,,"胡乱摆弄,糟蹋,与…厮混;和…一道用膳",
mind you,,"注意, 留心, 记住",
miss out,,"省掉, 遗漏, 漏述",
mistake for,,错认,
mix up,,"混淆, 调和",
mop up,,"作扫尾工作, 擦, 抹, 痛击, 吃完",
more often than not,,"多半, 通常",
more or less,,或多或少,
more than ever,,超越任何时候：比以往任何时候都更好、更大等。,
move about,,"走来走去, 经常搬家",
move around,,走来走去,
move away,,离开; 搬到别处去住; 改变（见解）; 挪开,
move in on,,"潜近..., 企图夺取(某物), 企图从(某人)处夺取东西",
move off,,"离开, 死, 畅销",
move on,,继续前进,
move up,,"向前移动, 上升；[计] 向上移",
mow down,,摧毁,
much as,,"虽然, 尽管",
much less,,更不,
much more,,更加,
nail down,,"用钉钉住, 明确；[法] 束缚, 确定, 使成定案",
nail up,,"钉牢, 钉住",
name after,,以…的名字起名,
near by,,"在…附近,接近,靠近",
near to,,"接近于, 靠近于",
neither here nor there,,"不中肯, 与题目不相干, 不重要, 与...无关的",
neither nor,,conj. 既不……也不……,
never mind,,"没关系, 不用担心",
next door,,隔壁,
next to,,几乎,
night after night,,一夜又一夜,
night and day,,夜以继日,
no doubt,,无疑地,
no end,,非常,
no fewer than,,不少于...,
no later than,,不迟于,
no less than,,正如,
no longer,,不再,
no matter,,"无论, 没关系",
no matter how,,不管如何,
no matter what,,无论如何，不管怎样,
no matter which,,无论哪一个,
no more,,不再,
no more than,,至多,
no other than,,"只有, 正是",
no sooner than,,一...就,
no thanks to,,并非由于,
no wonder,,不足为奇的,
none but,,只有,
none other than,,"不是别人而正是..., 不是他物而正是...",
none the less,,依然,
none too,,不很,
nose about,,"打听,探听,刺探",
nose around,,窥探，打探：以通常安静或秘密的方式搜索某物（如私人或隐藏的信息）。,
nose out of joint,,鼻子歪了：形容一个人因为受到冷落、忽视或受到侮辱而感到不高兴或生气。,
not a little,,许多,
not as…as…,,暂无释义，可打开词卡用有道查询,
not at all,,一点也不,
not but that,,"虽然..., 除非...",
not have a leg to stand on,,（论点等）站不住脚；对行为无合理的解释等,
not in the least,,一点不怕,
not more than,,"至多, 不超过, 不比...更",
not much of a,,"不善于..., 不很好, 不是怎么了不起的...",
not nearly,,远非,
not only but also,,不但...而且,
not only…but,,暂无释义，可打开词卡用有道查询,
not so much as,,连…都不肯，甚至不，甚至于没有,
not think much of,,认为...没什么了不起,
not to be sneezed at,,"不可轻视, 值得考虑",
not to mention,,不必提及,
nothing but,,只,
nothing else than,,"除了...以外什么也不, 仅仅..., 只有..., 只不过...",
now and then,,偶尔,
now that,,"既然..., 由于...",
nowhere near,,离...很近,
occur to,,v. （主意、想法、事实等）被想到；使（某人）想起或意识到,
odds and ends,,零星东西,
of a kind,,"同一类的, 蹩脚的",
of course,,当然,
of importance,,重要的：认为自己非常重要的思考和行为。,
of itself,,"自动地,自行地,自然而然地",
of necessity,,不得不做某事,
of no account,,不重要的,
of one's own,,属于某人自己的,
of one's own accord,,自愿地,
of sort,,不怎么样的,
of sorts,,各种各样的,
off and on,,断断续续地,
off balance,,"冷不防,毫无准备地",
off duty,,下班的,
off one's guard,,"不提防, 不警惕",
off the air,,停止广播,
off the hook,,未挂上; 摆脱困境,
off the record,,"非正式地, 不可引用地；[法] 不公开的, 非正式的",
on a diet,,"按规定进食,进规定的饮食",
on a large scale,,大规模地,
on a level with,,和...相等,
on a small scale,,小规模地：以小规模的方式进行，通常指在有限的范围内进行或实施。,
on account of,,由于,
on an average,,"作为平均数, 通常",
on and on,,继续不停地,
on approval,,"商品供试用的, 包退包换的；[经] (商品)供试用, 包退包换",
on balance,,总而言之；[经] 相抵后净额,
on behalf of,,代表...；[经] 代表,
on board,,"在船/车/飞机上, 在公共交通车辆上；[经] 已装船",
on business,,因公,
on condition that,,如果,
on credit,,"[经] 赊帐, 赊欠买卖, 信用交易",
on cue,,恰好在预期或恰当的时刻出现或发生,
on demand,,"[经] 见票即付, 即期",
on display,,"陈列着,在展览",
on duty,,"值班, 上班；[化] 值班",
on earth,,"在世上, 究竟",
on edge,,"竖着, 紧张, 急切",
on end,,"竖着, 连续地",
on file,,"存档；[法] 存档, 归档",
on fire,,"起火, 非常激动",
on foot,,"步行, 在进行中",
on guard,,"在岗, 警惕",
on hand,,"在手头, 即将发生, 待处理, 在场；[化] 有现货的",
on impulse,,冲动地，凭一时冲动，未经事先考虑地,
on loan,,"出借,借出,供出借",
on no account,,决不,
on oath,,"发誓, 在誓言的约束下；[法] 发誓",
on occasion,,有时,
on occasions,,"间或, 有时",
on one's conscience,,内疚的；使人感到内疚的,
on one's guard,,警惕,
on one's honor,,以某人的名誉为证：表示某人承诺会做某事。,
on one's own,,"独自地, 独立地, 主动地",
on order,,已定(购)而尚未交货的；[经] 已定购而未交货,
on our guard,,暂无释义，可打开词卡用有道查询,
on paper,,"以书面形式, 在名义上",
on principle,,根据原则,
on purpose,,故意做某事,
on record,,"记录在案, 在历史记录中；[法] 在案",
on relief,,接受救济,
on sale,,"廉售的, 拍卖的",
on schedule,,按时；[化] 按计划,
on second thoughts,,进一步考虑后；[法] 经仔细考虑之后,
on that score,,在那点上,
on the air,,"在广播, 在电视中",
on the alert,,"警惕着, 防备着；[法] 戒备, 留意",
on the average,,平均而言; 一般来说; 通常; 平均来讲,
on the behalf of,,代表：代表某人或某组织行事或发言。,
on the blink,,"奄奄一息,濒于死亡;坏了,失灵",
on the brink of,,"在…边缘,濒于,接近,几乎,差点",
on the button,,"击中下颔, 准确, 确切, 准时",
on the contrary,,"正相反；[法] 正相反, 相反地",
on the fence,,"抱观望态度, 保持中立",
on the go,,"活跃, 忙个不停",
on the grounds of,,基于，由于：基于某种理由或原因而做出某种决定或行动。,
on the hour,,准点地,
on the house,,"由店家出钱, 由酒馆老板付钱, 免费地",
on the increase,,正在增长,
on the lips of,,"在...中流传, 出自...之口",
on the move,,"在活动中, 在发展, 活跃",
on the nail,,"立刻, 当场",
on the part of,,"就...而言, 在...一边, 由...表现出来的, 由...所经历的, 由...所作出的；[法] 就...而言",
on the point of,,正要...的时候,
on the principle of,,根据...的原则,
on the quiet,,暗暗地做某事,
on the road,,"在旅途中, 在...过程中",
on the run,,"跑着, 逃跑, 急急忙忙, 奔走, 被通辑着；[法] 在逃",
on the side,,"作为兼职, 另外",
on the sky,,暂无释义，可打开词卡用有道查询,
on the spot,,"当场, 立即, 在危险中, 处境尴尬；[经] 在现场, 当场, 立即",
on the spur of the moment,,凭一时冲动; 日不移晷,
on the strength of,,"依赖..., 凭借..., 在...的鼓励下",
on the stroke,,"准点的,准时的;准时地,一分钟不差地",
on the table,,"在桌面上, 公开地, 被提交讨论的",
on the threshold of,,在……的门槛上：在一个新的重要时期或发展的开始。,
on the turn,,"在转变中, 在变质",
on the verge of,,"接近于, 濒临于",
on the whole,,"大体上, 基本上",
on thin ice,,如履薄冰,
on time,,"准时；[法] 准时, 按时, 按时付款",
on top,,"在上面, 成功, 领先, 另外",
on top of,,"熟练掌握, 在...之上, 完全控制着, 另外, 紧接着",
on view,,"展览着, 上映着",
once again,,再一次,
once and for all,,"一次了结地, 一劳永逸地, 彻底地, 永远地, 最后一次",
once for all,,"只此一次, 一劳永逸地, 彻底地",
once in a while,,偶尔,
once more,,再一次,
once upon a time,,从前,
one after another,,接连地；[计] 批次发送,
one another,,彼此,
one day,,有一天,
one way or another,,无论如何,
only that,,要不是...,
only too,,"非常, 实在, 完全",
open out,,"展开, 开发, 改善, 增加, 展现, 揭示, 直言, 畅淡",
open up,,"展开, 给...开刀, 打开, 开发, 开办, 展示, 开始；[法] 吐露真情",
operate on,,对...施手术,
or else,,否则,
or rather,,"更确切地说,说得更确切点",
or so,,"大约, 或许, ...左右",
other than,,"不同于, 除了",
out of,,"在...外, 离开..., 从...里面, 出于, 由于, 因为, 缺乏, 没有, 放弃, 丧失",
out of breath,,上气不接下气,
out of character,,"不符合某人一贯的性格, 与自己的性/习惯/所扮的角色不适合",
out of condition,,"健康状况不好, 保存得不好",
out of control,,"不受控制, 失去控制；[法] 不受控制",
out of danger,,脱离危险,
out of date,,"过时的, 废弃的；[化] 过期的; 过时的",
out of debt,,不欠债；[经] 不欠债,
out of doors,,户外,
out of fashion,,"不合时尚,不时兴的,过时",
out of favour,,不受青睐：指投资者或消费者不再对某项投资、产品或服务感兴趣或看好。,
out of focus,,"焦点没对准的, 模糊不清的",
out of hand,,"无法控制, 脱手, 告终, 立即",
out of joint,,"脱节的, 脱臼的, 混乱的, 不协调的, 心情不好的",
out of line,,"不成直线, 不一直, 不协调；[经] 脱离常轨(价格)",
out of luck,,运气不好,
out of one's depth,,"在过深的水中, 非...所能理解, 力所不及",
out of order,,"次序颠倒, 不整齐；[化] 有故障的; 故障的",
out of place,,"不在合适位置, 不合适",
out of pocket,,白花钱的,
out of practice,,"荒疏的, 久不练习的",
out of print,,"已绝版, 已售完；[法] 绝版",
out of proportion,,"不成比例；[法] 不相称, 不成比例",
out of question,,毫无疑问,
out of season,,"过时, 不合时令",
out of sight,,"在看不见的地方, 极度",
out of sorts,,"身体不适, 心情不佳",
out of step,,步调不一致；[化] 不同步,
out of stock,,"已脱销；[经] 卖完了, 无存货",
out of style,,"过时,不时兴,不时髦",
out of the question,,不知底细；[法] 不可能,
out of the way,,"不挡道, 不恰当, 异常, 偏僻；[法] 把...移开, 把...除掉",
out of touch,,"不联系, 不接触",
out of touch with,,"同…失去联系,对…不了解,不知道,脱离…",
out of tune with,,与某人或某事物不协调或不一致：指与某人或某事物的观点、态度、行为等不协调或不一致。,
out of use,,"不被使用, 废弃",
out of work,,"失业, 机器有毛病；[化] 不能工作的; 工作有妨碍的; 失效的",
outside of,,"在...的外面, 超出...的范围, 除了...之外",
over and above,,"在...之上, 高于..., 重于..., 在...之外(还), 另外还..., 在...同时还, 此外",
over and over,,"反复, 再三",
over and over again,,一再地,
over one's head,,使某人不能理解,
over there,,在那边,
owing to,,"由于..., 因为...",
own up,,坦白,
pack away,,"收拾,收藏",
pack in,,"停止, 回绝, 对...不感兴趣",
pack off,,"寄出, 把...打发走, 匆匆离开",
pack up,,"打包, 整理, 收工, 结束",
part company with,,"与...分离, 与...有分歧, 与...断绝关系",
part with,,"失去, 卖掉[付出]…, 与…分开; 割舍",
pass away,,"去世, 停止, 离去, 消逝",
pass by,,"经过, 掠过, 忽视",
pass off as,,将某物误称为另一物：将某物冒充成另一物。,
pass on,,"传授, 传递",
pass out,,"分发, 昏倒, 死, 完成学业, 离去",
pass over,,"忽略, 省略, 不加考虑, 转交",
pass through,,"通过..., 透过..., 穿过..., 流过...",
pass up,,"拒绝, 把...向上递",
pat sb. on the back,,轻拍某人的背;赞扬某人,
pay attention to,,注意,
pay back,,"偿付, 报答, 报复；[经] 付还, 偿付, 报酬率",
pay for,,付...款,
pay no attention to,,不要理会：拒绝表现出听到或看到某事或某人的样子，忽视某事或某人。,
pay off,,"付清, 报复, 付清工资解雇, 使人得益, 取得成功；[经] 清偿(债务), 发工资, 分配盈利",
pay out,,"付出, 报复, 放出；[经] 支出, 花费",
pay respect to,,"考虑..., 关心...",
pay up,,"全部付清, 按时付款, (在勒索下)出钱；[经] 付清, 缴清(股款等)",
peel off,,"飞机离队俯冲目标, 飞机离队降落",
per cent,,"n. 每百中, 百分之..., (英)利息...厘的证券, (非正式)百分率；[医] 每百分, 百分数",
persist in,,"坚持, 固执于",
phase in,,"逐步采用, 分阶段引入",
phase out,,"使逐步淘汰, 逐渐停止",
pick at,,"扯拉, 抓弄, 少量地吃, 对...唠叨指责",
pick off,,"摘掉, 拔去, 截取",
pick on,,"作弄, 惹恼, 找...的岔子, 选中, 总是挑剔；[法] 挑剔, 作弄人, 选择",
pick out,,挑选,
pick to pieces,/pɪk tu ˈpiːsɪz/,挑剔地批评：对某人或某事进行严格、细致的批评，挑出其中的错误或不足之处。,
pick up,,"掘地, 捡起, 获得, 学会, 看到, 中途带, 搭乘, 重新找到, 振作, 加快, 好转, 整理",
pie in the sky,,"死后的幸福, 渺茫的希望, 空头支票, 不能保证实现的允诺",
piece together,,拼凑,
piece up,,"修补, 分赃",
pile up,,"堆积, 积累, 搁浅, 撞毁",
pin down,,"使受约束, 把...别住(或钉牢), 阻止, 压制, 使明确说明, 证实",
pitch in,,"投入, 动手干, 作出贡献",
plan on,,打算,
play a joke on sb.,,对某人开玩笑,
play a part,,"扮演角色, 参与, 有影响, 装腔骗人",
play a part in,,"在…中扮演角色,在…中起作用",
play at,,"参加(体育活动、比赛等), 假装, 戏弄, 敷衍",
play back,,"把(球)打回对方, 播放(唱片、磁带等)",
play down,,"对...不重视, 降低, 贬低, 屈尊随群",
play off,,"使出丑, 延长比赛以破平局, 使相斗, (用欺骗手段)使...脱手",
play off against,,与……竞争：鼓动一个人或团体与另一个人或团体竞争或争论，希望从这种情况中获得一些优势。,
play on,,"继续比赛, 利用",
play out,,"把戏演完, 使耗尽, 使筋疲力尽, 放出, 用完, 使破产, 宣泄, 结束",
play the devil with,,"搞糟, 使失败",
play up,,"加油, (比赛时)拼命, 开始奏乐, 强调, 给...制造麻烦, 出故障",
play with,,"和…一起玩耍,漫不经心地摆弄,玩弄",
plug in,,插上电源,
point for point,,"一点一点地,逐一地,仔细地,详尽地",
point out,,指出,
point to,,指向,
poke about,,"摸索, 寻找",
poke around,,v. 闲逛,
poke fun at,,取笑,
poke one's nose into,,探听,
poles apart,,"大相径庭, 完全相反",
polish off,,"(飞快地)完成, 打败",
pop up,,突然站起(或跳起),
pour into,,[化] 注入,
pour out,,倒出; 使流出; 涌出; 倾诉,
