序号,单词,音标,词性,中文释义,英文例句,分类,小节
30,supply,/səˈplaɪ/,n.,供给,Food is in short supply all over the country. 在全国各地都供应不足。,Level 1,Day 18
31,surprise,/sərˈpraɪz/,n.,惊奇,"To his surprise, the bedroom door was locked. 他吃惊的是，卧室的门是锁着的。",Level 1,Day 18
32,machine,/məˈʃiːn/,n.,机械，机器,This machine only accepts coins. 这台机器只接 受硬币。 | He has produced his own sports magazine. 他已 经创办了自己的体育杂志。,Level 1,Day 18
34,feature,/ˈfiːtʃər/,n.,特色，特征 我们 v. 以……为特色,Teamwork is a key feature of the program. 团队 合作是这项计划的重要特点。,Level 1,Day 18
35,character,/ˈkærəktər/,n.,性格，品质；特征,The hotel is full of charm and character. 这家旅 馆风格独特，极具吸引力。,Level 1,Day 18
36,energetic,/ˌenərˈdʒetɪk/,adj.,精力充沛的,He was hardworking and energetic. 他很努力且 精力充沛。,Level 1,Day 18
37,electric,/ɪˈlektrɪk/,adj.,电的 食品 e.g. an electric light 电灯,,Level 1,Day 18
38,analyze,/ˈænəlaɪz/,v.,分析,He tried to analyze his feelings.他试图分析自己 的感情。 使 39. analysis /əˈnæləsɪs/ | I agree with her analysis of the situation. 我赞成 她对形势的分析。,Level 1,Day 18
40,harmony,/ˈhɑːməni/,n.,和谐,to live together in harmony 和睦地一同生活,Level 1,Day 18
1,celebrate,/ˈselɪbreɪt/,v.,庆祝，庆贺,Jack celebrated his 60th birthday. 杰克庆祝了他 的60 岁生日。,Level 2,Day 1
2,tour,/tʊr/,n.,旅游,a tour of a historical site 一次历史遗迹的参观活动,Level 2,Day 1
3,tourist,/ˈtʊrɪst/,n.,游客,foreign tourists 外国观光客,Level 2,Day 1
4,journey,/ˈdʒɜːrni/,n.,旅行,Life is like a journey. 人生就像一次旅途。,Level 2,Day 1
5,camp,/kæmp/,n.,营地,a summer camp 一个夏令营,Level 2,Day 1
6,transport,/ˈtrænspɔːrt/,n.,运输,,Level 2,Day 1
7,weather,/ˈweðər/,n.,天气,The bad weather ruined our journey. 天气恶劣， 破坏了我们的旅行。 | to help families weather bad times 帮助家庭度过 艰难时期,Level 2,Day 1
8,plane,/pleɪn/,n.,飞机,I caught the next plane to Dublin. 我赶上了下一 班飞机去都柏林。,Level 2,Day 1
9,map,/mæp/,n.,地图,digital maps 电子地图 | I went home and mapped out my plan. 我回到家， 制定出了我的计划。,Level 2,Day 1
10,equipment,/ɪˈkwɪpmənt/,n.,设备,new equipment for the sports club 体育俱乐部的,Level 2,Day 1
11,lake,/leɪk/,n.,湖,They can go fishing in the lake. 他们可以去湖里 钓鱼。,Level 2,Day 1
12,row,/roʊ/,n.,排,We sat in a row at the back of the room. 我们在 屋子的后面坐成一排。 | to climb mountains 登山,Level 2,Day 1
14,climb,/klaɪm/,v.,攀登,It is a good idea to climb mountains on weekends. 周末去登山是一个好主意。 | The dollar has been climbing all week. 整个星期， 美元一直在升值。,Level 2,Day 1
15,roll,/roʊl/,v.,滚动,The ball rolled down the hill. 球滚下了山。,Level 2,Day 1
16,island,/ˈaɪlənd/,n.,岛,the Hawaiian Islands 夏威夷群岛,Level 2,Day 1
17,beach,/biːtʃ/,n.,海滩,We watched the waves rolling onto the beach.,Level 2,Day 1
18,pool,/puːl/,n.,水池,swimming pool 游泳池,Level 2,Day 1
19,crowd,/kraʊd/,n.,人群,He pushed his way through the crowd. 他在人群 中往前挤。,Level 2,Day 1
20,alternative,/ɔːlˈtɜːrnətɪv/,n.,可供选择的事物，替代品,alternative energy 替代能源、新能源,Level 2,Day 1
21,historical,/hɪˈstɔːrɪkl/,adj.,历史的,historical research 史学研究,Level 2,Day 1
22,museum,/mjuˈziːəm/,n.,博物馆,a science museum 科学博物馆,Level 2,Day 1
23,exhibition,,n.,展览,an exhibition of old photographs 老照片展,Level 2,Day 1
24,empty,/ˈempti/,adj.,空的,The room was empty. 房间空荡荡的。,Level 2,Day 1
25,rare,/rer/,adj.,罕见的,a rare plant 珍奇植物,Level 2,Day 1
26,theater,/ˈθiːətər/,n.,戏院，剧院,How often do you go to the theater? 你多久看一 我 次戏？,Level 2,Day 1
27,expensive,/ɪkˈspensɪv/,adj.,昂贵的,,Level 2,Day 1
28,comfortable,/ˈkʌmfərtəbl/,adj.,令人舒服的，令人舒适的,A home should be comfortable and friendly. 使人感到舒适与和睦。,Level 2,Day 1
29,accident,/ˈæksɪdənt/,n.,事故,She was involved in a serious car accident week. 她上个星期卷入了一场严重的车祸。,Level 2,Day 1
30,flight,/flaɪt/,,,My flight leaves in less than an hour. 我的航班一,Level 2,Day 1
31,vacation,/vəˈkeɪʃn/,n.,假期,They're on vacation in Hawaii now. 他们此时正 在夏威夷度假。,Level 2,Day 1
32,outdoor,/ˈaʊtdɔːr/,adj.,户外的,outdoor activities 户外活动,Level 2,Day 1
33,cinema,/ˈsɪnəmə/,n.,电影院,I used to go to the cinema every week. 我过去每 周都去看电影。,Level 2,Day 1
34,bicycle,/ˈbaɪsɪkl/,n.,自行车,We went for a bicycle ride on Sunday. 我们星期 天骑自行车兜风了。,Level 2,Day 1
35,scenery,/ˈsiːnəri/,n.,风景，景色,to enjoy the scenery 欣赏风景,Level 2,Day 1
36,advance,/ədˈvæns/,n.,进步 家应 v. 进步,recent advances in medical science 医学的最新进展 | It's cheaper if you book the tickets in advance. 预 last 订票要便宜一些。,Level 2,Day 1
37,advantage,/ədˈvæntɪdʒ/,n.,优势,Each of these systems has its advantages and disadvantages. 这些系统各有其优缺点。 | take advantage of 利用,Level 2,Day 1
38,approach,/əˈproʊtʃ/,v.,接近,He approached me to create and design the restaurant. | We need to take a different approach to the problem. 我们应该采用另一种方法来解决这一问题。,Level 2,Day 1
39,method,/ˈmeθəd/,n.,方法,There is just one method that might work. 只有一 个方法可能起作用。,Level 2,Day 1
40,aim,/eɪm/,v.,目的在于；瞄准,Businesses will have to aim at long-term growth. 企业必须以长期增长为目标。,Level 2,Day 1
1,federal,/ˈfedərəl/,adj.,联邦的,The federal government tried to control health-care costs. 联邦政府努力控制卫生保健费用。,Level 2,Day 2
2,violence,/ˈvaɪələns/,n.,暴力,Violence is always pointless. 暴力总是毫无意 义的。,Level 2,Day 2
3,army,/ˈɑːrmi/,n.,军队,He has applied to join the army. 他已报名参军。,Level 2,Day 2
4,conflict,/ˈkɑːnflɪkt/,n.,冲突，矛盾,She was unafraid of conflict. 她不怕发生冲突。,Level 2,Day 2
5,enemy,/ˈenəmi/,n.,敌人,The city is under enemy control. 那座城市现处 于敌人的控制之下。 线｜教研团队,Level 2,Day 2
6,critical,/ˈkrɪtɪkl/,adj.,批评的，批判性的；至关紧要的 74<< 零基础词汇讲义Level 2,,Level 2,Day 2
7,soldier,/ˈsoʊldʒər/,n.,军人,He behaves like a well-trained soldier. 他的举止 像个训练有素的军人。,Level 2,Day 2
8,weapon,/ˈwepən/,n.,武器,a nuclear weapon 核武器,Level 2,Day 2
9,approve,/əˈpruːv/,v.,赞成；批准,The committee approved the plan. 委员会通过了 计划。,Level 2,Day 2
10,institution,/ˌɪnstɪˈtuːʃn/,n.,机构；制度,I believe in the institution of marriage. 我相信婚 姻制度。,Level 2,Day 2
11,defense,/dɪˈfens/,n.,防卫；辩护,The best defense is to attack. 进攻是最好的 防御。,Level 2,Day 2
12,protest,/prəˈtest/,n.,抗议，反对,He knew it was useless to protest. 他知道抗议是 徒劳的。,Level 2,Day 2
13,politics,/ˈpɑːlətɪks/,n.,政治,He is completely uninterested in politics. 他对政 治毫无兴趣。,Level 2,Day 2
14,resident,/ˈrezɪdənt/,,,resident of the United States 美国的居民,Level 2,Day 2
15,citizen,/ˈsɪtɪzn/,n.,公民；市民,She became a US citizen. 她成了美国公民。,Level 2,Day 2
16,forbid,/fərˈbɪd/,v.,禁止,I forbid anyone to touch that clock. 我不准任何 人碰那台钟。,Level 2,Day 2
17,treasure,/ˈtreʒər/,n.,财富；珍宝,art treasures 艺术珍品 | She treasures her memories of those days. 她珍惜 那些记忆。,Level 2,Day 2
18,fundamental,/ˌfʌndəˈmentl/,adj.,根本的，基础的,Hard work is fundamental to success. 勤奋工作 是成功的基础。,Level 2,Day 2
19,construct,/kənˈstrʌkt/,,,He eventually constructed a huge business empire.,Level 2,Day 2
20,construction,/kənˈstrʌkʃn/,n.,建筑；结构,The summer house was a simple wooden construction. 那座避暑别墅是简单的木结构建筑。,Level 2,Day 2
21,global,/ˈɡloʊbl/,adj.,全球的，全世界的,global issues 全球性问题 | Global warming is a real problem. 全球变暖是一 个确实存在的问题。,Level 2,Day 2
22,exchange,/ɪksˈtʃeɪndʒ/,v.,交换；交流,We exchanged addresses. 我们交换了地址。,Level 2,Day 2
23,scale,/skeɪl/,n.,规模，范围,The scale of the fighting is almost unimaginable. 战斗的规模几乎难以想像。,Level 2,Day 2
24,commercial,,adj.,商业的,We hope it will be a commercial success. 我们希 望它会是一次商业成功。,Level 2,Day 2
25,import,/ˈɪmpɔːrt/,v.,进口；输入,We import raw materials and energy and export mainly industrial products. 我们进口原材料和能源，主要出口工业产品。,Level 2,Day 2
26,advertise,/ˈædvərtaɪz/,v.,(为……)做广告,to advertise a product 做广告宣传产品,Level 2,Day 2
27,advertisement,/ˌædvərˈtaɪzmənt/,n.,广告,,Level 2,Day 2
28,investor,/ɪnˈvestər/,n.,投资者,She is a cautious investor. 她是个小心谨慎的投 资者。,Level 2,Day 2
29,consumer,/kənˈsuːmər/,n.,消费者,consumer rights 消费者权利,Level 2,Day 2
30,cash,/kæʃ/,,,to pay in cash 用现金支付,Level 2,Day 2
31,crisis,/ˈkraɪsɪs/,n.,危机,a political /financial crisis 政治/金融危机,Level 2,Day 2
32,shake,/ʃeɪk/,v.,摇动；(使)颤动,shake hands (with sb) (与某人)握手 This did not shake his faith. 这事并未动摇他的信心。,Level 2,Day 2
33,recover,/rɪˈkʌvər/,v.,恢复,It'll take her time to recover from the illness. 复需要时间。,Level 2,Day 2
34,practical,/ˈpræktɪkl/,adj.,实际的；实用性的,practical advice 实用的忠告 76<< 零基础词汇讲义Level 2 car. 35. sharp /ʃɑːrp/ | a sharp drop in prices 价格的骤降,Level 2,Day 2
36,target,/ˈtɑːrɡɪt/,n.,目标,The campaign will target insurance companies. 这 场运动将以保险公司为目标。,Level 2,Day 2
37,purpose,/ˈpɜːrpəs/,n.,目的,Our campaign's main purpose is to raise money. 我们这次活动的主要目的就是募款。,Level 2,Day 2
38,realize,/ˈriːəlaɪz/,v.,实现；认识到,I can realize all my dreams. 我可以实现我的所 有梦想。,Level 2,Day 2
39,achieve,/əˈtʃiːv/,v.,取得；实现,They will work hard to achieve these goals. 他们 会努力工作来实现这些目标。,Level 2,Day 2
40,attempt,/əˈtempt/,v.,企图；尝试,I will attempt to answer all your questions. 我将 努力回答你的全部问题。,Level 2,Day 2
1,corporation,/ˌkɔːrpəˈreɪʃn/,n.,大公司，企业,multinational corporations 跨国公司,Level 2,Day 3
2,executive,/ɪɡˈzekjətɪv/,n.,经理,advertising executives 广告部门主管,Level 2,Day 3
3,chief,/tʃiːf/,adj.,最重要的，主要的,chief justice 首席法官,Level 2,Day 3
4,register,/ˈredʒɪstər/,v.,登记；注册,to register a company 注册公司,Level 2,Day 3
5,locate,/ləʊˈkeɪt/,v.,找到；定居,It locates in rural areas. 它在农村地区。,Level 2,Day 3
6,domestic,/dəˈmestɪk/,adj.,国内的；家庭的,domestic flights 国内航班 | domestic violence 线｜教研团队 家庭暴力,Level 2,Day 3
7,abroad,/əˈbrɔːd/,adv.,到国外,,Level 2,Day 3
8,sum,/sʌm/,n.,金额；总和,a large sum of money 一大笔钱,Level 2,Day 3
9,assess,/əˈses/,v.,评估；计算,assess the value of your belongings 估算你的财 产价值,Level 2,Day 3
10,reject,/rɪˈdʒekt/,v.,拒绝,to reject a suggestion 拒绝一个建议,Level 2,Day 3
11,hire,/ˈhaɪər/,v.,雇用,She was hired three years ago. 她是三年前录用的。,Level 2,Day 3
12,talent,/ˈtælənt/,n.,天才；天赋,a man of many talents 多才多艺的男子 | The team has a wealth of home-grown talent. 该 队有很多自己培养的人才。,Level 2,Day 3
13,active,/ˈæktɪv/,adj.,活跃的,,Level 2,Day 3
14,salary,/ˈsæləri/,n.,薪水,The lawyer was paid a huge salary. 这位律师被 付了一大笔薪水。,Level 2,Day 3
15,wage,/weɪdʒ/,n.,工资,Wages are paid on Fridays. 每星期五发工资。,Level 2,Day 3
16,qualify,/ˈkwɑːlɪfaɪ/,,,You must qualify yourself for the post. 你必须使,Level 2,Day 3
17,competitive,/kəmˈpetətɪv/,adj.,竞争的；有竞争力的,competitive games 竞技性的比赛 | The changes made the company more competitive. 改革使公司更有竞争力。,Level 2,Day 3
18,appropriate,/əˈproʊpriət/,adj.,合适的,an appropriate measure 恰当的措施,Level 2,Day 3
19,slogan,/ˈsloʊɡən/,n.,标语,an advertising slogan 广告口号,Level 2,Day 3
20,rumor,/ˈruːmər/,n.,谣言,Is there any truth to the rumors? 那些谣言有什么 事实依据吗？,Level 2,Day 3
21,require,/rɪˈkwaɪər/,v.,需要；要求 些宠物需要悉心照顾。 78<< 零基础词汇讲义Level 2,,Level 2,Day 3
22,demand,/dɪˈmænd/,n.,要求；需求,I demand to see the manager. 我坚决要求见经理。 | There is an increased demand for organic produce these days. 目前对有机农产品有更大的需求。,Level 2,Day 3
23,control,/kənˈtroʊl/,n.,控制,All the newspapers are under government control. 所有的报纸都处在政府控制之下。,Level 2,Day 3
24,operate,/ˈɑːpəreɪt/,v.,运转；经营,Our model is easy to operate and maintain. 我们 的模型易于操作和维护。,Level 2,Day 3
25,operation,/ˌɑːpəˈreɪʃn/,n.,操作；经营；手术,The system has been in operation for six months. 这个系统已经运行六个月了。 | The operation saved her life. 手术挽救了她的生命。,Level 2,Day 3
26,organize,/ˈɔːrɡənaɪz/,v.,组织,We should organize more social events. 我们应 该组织更多的社交活动。,Level 2,Day 3
27,process,/ˈprəʊses/,n.,过程；流程,Life is a learning process. 生活是一个学习的过程。,Level 2,Day 3
28,establish,/ɪˈstæblɪʃ/,,,The school has established a successful relationship,Level 2,Day 3
29,release,/rɪˈliːs/,v.,释放；发行,The new software is planned for release in April. 新软件计划四月份发行。,Level 2,Day 3
30,track,/træk/,n.,轨道；足迹 跟着熊在雪地上留下的足迹走。,Our radar began tracking the planes. 我们的雷达 开始追踪那些飞机。,Level 2,Day 3
31,theory,/ˈθiːəri/,n.,理论,The theory remains untested. 该理论仍未经过 验证。,Level 2,Day 3
32,accept,/əkˈsept/,v.,接受；承认,I don't think they would accept that view. 我不认 为他们会相信那个观点。,Level 2,Day 3
33,allow,/əˈlaʊ/,v.,允许,They wouldn't allow me to smoke. 他们不会允许 我抽烟。,Level 2,Day 3
34,apply,/əˈplaɪ/,v.,申请；应用,I am continuing to apply for jobs. 我在继续申请 工作。,Level 2,Day 3
35,application,/ˌæplɪˈkeɪʃn/,n.,申请；应用程序,Her application was turned down. 她的申请被驳 回了。,Level 2,Day 3
36,check,/tʃek/,v.,检查,We always check people's addresses. 我们总是检 我们 查一下人们的地址。,Level 2,Day 3
37,condition,/kənˈdɪʃn/,n.,条件；情况,The piano was in good condition. 这台钢琴状况 良好。,Level 2,Day 3
38,situation,/sɪtʃuˈeɪʃn/,n.,情况；形势,The,Level 2,Day 3
39,conclusion,/kənˈkluːʒn/,n.,结论,The judge's conclusion was wrong. 法官的结论 是错误的。 | draw a conclusion 得出结论；作结论,Level 2,Day 3
40,judge,/dʒʌdʒ/,n.,法官；裁判,The judge's decision is final. 裁判的决定为最终 决定。,Level 2,Day 3
1,justice,/ˈdʒʌstɪs/,n.,公正；法官,He only wants freedom and justice. 他只要自由 和公正。,Level 2,Day 4
2,lawyer,/ˈlɔɪər/,n.,律师,The lawyer was paid a huge salary. 这个律师拿 了很高的薪金。,Level 2,Day 4
3,rope,/roʊp/,n.,绳索,We tied his hands together with rope. 我们用绳 子把他的手绑在一起。,Level 2,Day 4
4,witness,/ˈwɪtnəs/,n.,目击者,a witness to the killing 杀人案的目击证人,Level 2,Day 4
5,suspect,/səˈspekt/,v.,怀疑,Doctors suspect he may have a heart condition. 生怀疑他可能有心脏病。 80<< 零基础词汇讲义Level 2,Level 2,Day 4
6,crime,/kraɪm/,n.,罪行,the fight against crime 与犯罪活动的斗争,Level 2,Day 4
7,commit,/kəˈmɪt/,v.,犯 (罪)；承诺,The President is committed to reforming health care. 总统承诺要改革卫生保健制度。,Level 2,Day 4
8,equally,/ˈiːkwəli/,adv.,相等地；同样地,We try to treat every member of staff equally. 我们尽可能平等对待每一位工作人员。,Level 2,Day 4
9,appreciate,/əˈpriːʃieɪt/,v.,感激；欣赏,I'd appreciate some help. 如果有人帮忙我将非 常感激。,Level 2,Day 4
10,transfer,/trænsˈfɜːr/,v.,转移,How can I transfer money from my bank account 医 to his? 怎么才能把我账户上的钱转到他的账户 上呢？,Level 2,Day 4
11,steal,/stiːl/,v.,偷,They would never steal. 他们决不会偷窃。,Level 2,Day 4
12,intellectual,/ˌɪntəˈlektʃuəl/,adj.,智力的,She's very intellectual. 她很聪慧。,Level 2,Day 4
13,intelligence,/ɪnˈtelɪdʒəns/,n.,智力,a person of high intelligence 智力高的人 | to implement policies 实行政策,Level 2,Day 4
15,regulation,/ˌreɡjuˈleɪʃn/,n.,规章制度,government regulation 政府监管,Level 2,Day 4
16,ban,/bæn/,v.,禁止,He was banned from driving for six months. 禁止驾驶六个月。,Level 2,Day 4
17,insurance,/ɪnˈʃʊrəns/,n.,保险；安全保证,travel insurance 旅行保险,Level 2,Day 4
18,estate,/ɪˈsteɪt/,n.,财产,real estate 房地产,Level 2,Day 4
19,stable,/ˈsteɪbl/,adj.,稳定的；稳固的,The price of oil remains stable. 石油价格保持稳定。 | Only one of the answers is correct.这些答案中只 有一个是正确的。,Level 2,Day 4
21,belong,/bɪˈlɔːŋ/,v.,属于,The house had belonged to her family for three or four generations. 这座房子属于她家已有三四代了。,Level 2,Day 4
22,level,/ˈlevl/,n.,水平,The factory cannot continue its current level of production. 这家工厂不能维持目前的生产水平。,Level 2,Day 4
23,limit,/ˈlɪmɪt/,n.,极限；范围,They wish to limit the power of the government. 他们希望限制政府权力。,Level 2,Day 4
24,pattern,,n.,模式 他被 e.g. All three attacks followed the same pattern. 3 次 袭击都依照同一模式。,,Level 2,Day 4
25,structure,/ˈstrʌktʃər/,n.,结构,This structure must be stable. 这种结构一定很稳固。,Level 2,Day 4
26,identify,/aɪˈdentɪfaɪ/,v.,确定；识别,She was able to identify her attacker. 她认出了袭 击她的人。,Level 2,Day 4
27,indicate,/ˈɪndɪkeɪt/,v.,表明；暗示,Research indicates that eating habits are changing fast. 研究表明，饮食习惯正迅速改变。,Level 2,Day 4
28,example,/ɪɡˈzæmpl/,n.,例子；榜样,It is important to use examples to support argument. 用实例来证明你的论点是重要的。,Level 2,Day 4
29,pass,/pæs/,v.,通过；传递；过,Stand aside and let these people pass. 闪开，让这 些人过去。 | He is determined to pass this exam. 他决心要通,Level 2,Day 4
30,finish,/ˈfɪnɪʃ/,v.,完成；结束,Can you finish the work by five o'clock? 你五点 钟前能完成工作吗？,Level 2,Day 4
31,scientist,/ˈsaɪəntɪst/,n.,科学家,nuclear scientists 核科学家,Level 2,Day 4
32,experiment,/ɪkˈsperɪmənt/,n.,实验,perform an experiment 做实验,Level 2,Day 4
33,technique,/tekˈniːk/,n.,技术；技巧,marketing techniques 营销技巧,Level 2,Day 4
34,electronic,/ɪˌlekˈtrɑːnɪk/,adj.,电子的,expensive electronic equipment 昂贵的电子设备。 your 35. net /net/ | a net profit of ￡500 500 英镑的纯利润,Level 2,Day 4
36,online,/ˌɑːnˈlaɪn/,adj.,在线的,Online shopping is both cheap and convenient. 网 上购物既便宜又方便。,Level 2,Day 4
37,software,/ˈsɔːftwer/,n.,软件,There is a bug in the software. 软件出了故障。,Level 2,Day 4
38,expert,/ˈekspɜːrt/,n.,专家,a medical expert 医学专家,Level 2,Day 4
39,explore,/ɪkˈsplɔːr/,v.,探索；调查研究,We need to explore a wide range of possibilities. 我们需要探究各种可能的情况。,Level 2,Day 4
40,observe,/əbˈzɜːrv/,v.,观察；遵从,She also studies and observes the behaviour of babies. 她还研究并观察婴儿的行为。,Level 2,Day 4
1,prevent,/prɪˈvent/,v.,阻止,Regular exercise helps prevent weight gain. 锻炼有助于防止体重增加。,Level 2,Day 5
2,destroy,/dɪˈstrɔɪ/,v.,摧毁；毁灭,They've destroyed all the evidence. 他们销毁了 一切证据。,Level 2,Day 5
3,climate,/ˈklaɪmət/,n.,气候；环境气氛,The economic climate remains uncertain. 气候依然是不确定。,Level 2,Day 5
4,waste,/weɪst/,v.,浪费,I will not waste money on a hotel. 我不会因住旅 馆浪费钱。,Level 2,Day 5
5,traffic,/ˈtræfɪk/,n.,交通 线｜教研团队,There was heavy traffic on the roads. 路上的交通 很拥挤。,Level 2,Day 5
6,fresh,/freʃ/,adj.,新鲜的 经常 e.g. fresh vegetables 新鲜蔬菜,,Level 2,Day 5
7,duty,/ˈduːti/,n.,责任；义务,It is my duty to report it to the police. 把这事报 告给警方是我的责任。,Level 2,Day 5
8,appeal,/əˈpiːl/,v.,呼吁；申诉 经济 e.g. They made an emotional appeal for help. 他们情 绪激动地恳求救助。,,Level 2,Day 5
9,aware,/əˈwer/,adj.,意识到……的,We are fully aware of the dangers. 我们充分意识 到危险。,Level 2,Day 5
10,commitment,/kəˈmɪtmənt/,n.,承诺,We made a commitment to keep working together. 我们作了承诺要继续在一起工作。,Level 2,Day 5
11,monitor,/ˈmɑːnɪtər/,,,,Level 2,Day 5
12,engage,/ɪnˈɡeɪdʒ/,v.,从事，参加,He continued to engage in criminal activities.他还 继续从事犯罪活动。,Level 2,Day 5
13,joint,/dʒɔɪnt/,adj.,联合的；共同的,The report was a joint effort. 这个报告是大家共,Level 2,Day 5
14,contribution,/ˌkɑːntrɪˈbjuːʃn/,n.,捐款；贡献,He made a very positive contribution to the success of the project. 他对项目的成功贡献良多。,Level 2,Day 5
15,responsible,/rɪˈspɑːnsəbl/,adj.,负有责任的；有责任心的,Children should be responsible for their actions. 孩子应对自己的行为负责。,Level 2,Day 5
16,preserve,/prɪ'zɜːrv/,v.,维护；保护,We need to preserve the forest. 我们需要保护森林。,Level 2,Day 5
17,reserve,/rɪˈzɜːrv/,v.,预订；保留,reserve a room 预定房间 All rights reserved. 版权所有,Level 2,Day 5
18,conservative,/kənˈsɜːrvətɪv/,adj.,保守的,Her style of dress was never conservative. 她的服,Level 2,Day 5
19,guarantee,/ˌɡærənˈtiː/,n.,保证,Career success is no guarantee of happiness. 事业 成功并不是幸福的保证。,Level 2,Day 5
20,reform,/rɪˈfɔːrm/,v.,改革；改进,economic reform 经济改革,Level 2,Day 5
21,effective,/ɪˈfektɪv/,adj.,有效的,It is an effective treatment. 这是一种有效的疗法。,Level 2,Day 5
22,protection,/prəˈtekʃn/,n.,保护,data protection laws 数据保护法,Level 2,Day 5
23,mild,/maɪld/,adj.,温和的,a mild climate 温和的气候,Level 2,Day 5
24,survey,,v.,调查,carry out a survey 进行一个调查,Level 2,Day 5
25,journalist,/ˈdʒɜːrnəlɪst/,n.,新闻记者；新闻工作者,My job as a journalist is to tell the truth. 我作为 记者的职责就是展示事实。,Level 2,Day 5
26,creation,/kriˈeɪʃn/,n.,创造；创作,the process of database creation 数据库的创建过程,Level 2,Day 5
27,scientific,/ˌsaɪənˈtɪfɪk/,adj.,科学的,scientific knowledge 科学知识,Level 2,Day 5
28,progress,/ˈprɑːɡres/,,,,Level 2,Day 5
29,update,/ˌʌpˈdeɪt/,v.,更新,update the software 更新软件,Level 2,Day 5
30,criticism,/ˈkrɪtɪsɪzəm/,n.,批评,The plan has attracted criticism from consumer groups.这项计划引起了各消费者组织的指责。,Level 2,Day 5
31,oppose,/əˈpoʊz/,,,I would oppose changing the law. 我将反对改变,Level 2,Day 5
32,opposite,/ˈɑːpəzɪt/,prep.,在……对面,the opposite side of the road 马路对面 | Hot and cold are opposites. 热和冷是对立面。,Level 2,Day 5
33,double,/ˈdʌbl/,adj.,两倍的,It has the double advantage of being both easy cheap.它具有既方便又便宜的双重优点。,Level 2,Day 5
34,edge,/edʒ/,n.,边缘；刀刃,Advanced technology is usually a double-edged sword. 先进的技术通常是一把双刃剑。,Level 2,Day 5
35,investigate,/ɪnˈvestɪɡeɪt/,v.,调查,They're still investigating the accident. 他们还在 调查这个事故。,Level 2,Day 5
36,asleep,/əˈsliːp/,adj.,睡着的,"When she finally fell asleep, she began to dream. 她终于睡着了，并开始做梦。",Level 2,Day 5
37,crop,/krɑːp/,n.,庄稼,Sugar is an important crop on the island. 糖料作 物是这个岛上的一种重要作物。,Level 2,Day 5
38,farm,/fɑːrm/,n.,农场,work,Level 2,Day 5
39,urban,/ˈɜːrbən/,adj.,城市的,urban life 城市生活,Level 2,Day 5
40,rural,/ˈrʊrəl/,,,rural areas 农村地区,Level 2,Day 5
1,remind,/rɪˈmaɪnd/,v.,提醒；使想起,Can you remind me to buy a bottle of wine? 提醒我买一瓶葡萄酒吗？,Level 2,Day 6
2,recall,/rɪˈkɔːl/,v.,回想起；召回,I can't recall meeting her before. 我想不起来以 前曾经见过她。,Level 2,Day 6
3,host,/hoʊst/,n.,主人；主持人,Tonight she hosts a party for 300 guests. 今晚她 主办一场有300 名来宾参加的宴会。 | a host of 许多；大量,Level 2,Day 6
4,invite,/ɪnˈvaɪt/,v.,邀请,She invited him to her 26th birthday party. 请了他参加她的26 岁生日聚会。,Level 2,Day 6
5,guest,/ɡest/,n.,客人,I have guests staying this weekend. 这周末我家 86<< 零基础词汇讲义Level 2,Level 2,Day 6
6,river,/ˈrɪvər/,,,a boat on the river 河上的一条船,Level 2,Day 6
7,freeze,/friːz/,v.,(使)冻结；惊呆,"If the temperature drops below 0°C, water freezes. 如果温度降到摄氏零度以下，水就会结冰。",Level 2,Day 6
8,temperature,/ˈtemprətʃər/,n.,温度,The temperature has risen by five degrees. 温度 升高了五度。,Level 2,Day 6
9,warm,/wɔːrm/,adj.,温暖的,"Because it was warm, David wore only a white shirt. 她邀 因为天气暖和，戴维只穿了一件白色衬衫。",Level 2,Day 6
10,flower,/ˈflaʊər/,n.,花,The plant has a beautiful bright red flower. 这株 植物开了一朵美丽鲜红的花。,Level 2,Day 6
11,lovely,/ˈlʌvli/,adj.,可爱的,a lovely girl 一个可爱的女孩,Level 2,Day 6
12,wood,/wʊd/,n.,木材；树林,a large wood 一大片树林,Level 2,Day 6
13,silence,/ˈsaɪləns/,n.,沉默,I need silence when I'm working. 我工作时需要,Level 2,Day 6
14,quiet,/ˈkwaɪət/,adj.,安静的,I wish you'd be quiet for a minute. 我希望你会安 静一会儿。,Level 2,Day 6
15,noise,/nɔɪz/,n.,声音；噪音,Don't make a noise. 别出声。,Level 2,Day 6
16,relax,/rɪˈlæks/,v.,放松；休息,Just relax and enjoy the movie. 休息休息，看看 电影吧。,Level 2,Day 6
17,broad,/brɔːd/,adj.,宽阔的；广泛的,a broad street 宽广的街道,Level 2,Day 6
18,flat,/flæt/,n.,公寓；平面,People used to believe that the earth was flat.,Level 2,Day 6
19,plain,/pleɪn/,adj.,朴素的；平凡的,"It was a plain, grey stone house. 这是一座简朴的 灰色石头房子。",Level 2,Day 6
20,square,/skwer/,adj.,正方形的,His supporters gathered in the main square. 他的 支持者聚集在主广场上。,Level 2,Day 6
21,mix,/mɪks/,v.,(使)混合，掺和；调配；相处,You can't mix business with pleasure. 你不能把 工作和娱乐混在一起。,Level 2,Day 6
22,video,/ˈvɪdioʊ/,n.,视频,She has watched the race on video. 她已观看了 比赛的录像。,Level 2,Day 6
23,kitchen,,n.,厨房,We ate at the kitchen table. 我们在厨房桌子上吃饭。,Level 2,Day 6
